Gift For,Interests,Occassion,Budget,Gift Suggestion
Friend,Music,Birthday,Low (<1000 INR) 500-1000,Earphones
Friend,Travel,Promotion,High (>5000 INR),GoPro
Friend,Food,Birthday,Mid (1000-5000) INR,Coupons
Friend,Sports,Birthday,Low (<1000 INR) 500-1000,Football
Father,Dance,Anniversary,Mid (1000-5000) INR,Workshop ticket
Father,Nature,Father's Day,Low (<1000 INR) 500-1000,Plant
Father,Movies,Birthday,Mid (1000-5000) INR,Movie ticket
Father,Reading,Birthday,High (>5000 INR),Fav Author signed book
Mother,Art,Mother's Day,Mid (1000-5000) INR,Painting
Mother,Music,Birthday,High (>5000 INR),Concert ticket
Mother,Pets,Anniversary,High (>5000 INR),Puppy
Mother,Cooking,Birthday,Low (<1000 INR) 500-1000,Cookbook
Sister,Pets,Graduation,High (>5000 INR),Kitten
Sister,Food,Birthday,Low (<1000 INR) 500-1000,Coupons
Sister,Dance,Promotion,Mid (1000-5000) INR,Ghungroo
Sister,Fashion,Birthday,Mid (1000-5000) INR,Makeup
Brother,Travel,Graduation,High (>5000 INR),Jacket
Brother,Sports,Birthday,Mid (1000-5000) INR,Shoes
Brother,Fitness,Promotion,Low (<1000 INR) 500-1000,Sipper
Brother,Fashion,Birthday,Mid (1000-5000) INR,Tuxedo
Cousin,Fashion,Wedding,Mid (1000-5000) INR,Couple watch
Cousin,Pottery,Birthday,Low (<1000 INR) 500-1000,Workshop ticket
Cousin,Sports,Birthday,Mid (1000-5000) INR,jersey
Cousin,Nature,Anniversary,High (>5000 INR),pot
Partner,Nature,Promotion,Mid (1000-5000) INR,plant
Partner,Fashion,Birthday,Low (<1000 INR) 500-1000,Dress
Partner,Music,Anniversary,High (>5000 INR),Earphones
Partner,Movies,Birthday,Mid (1000-5000) INR,Movie ticket
Wife,Pottery,Birthday,Low (<1000 INR) 500-1000,Pot
Wife,Cooking,Anniversary,Mid (1000-5000) INR,recipe list
Wife,Food,Anniversary,High (>5000 INR),reservation
Wife,Travel,Birthday,High (>5000 INR),flight tickets
Husband,Cooking,Birthday,Low (<1000 INR) 500-1000,Utensil
Husband,Travel,Anniversary,High (>5000 INR),Trip
Husband,sports,Promotion,Mid (1000-5000) INR,Match tickets
Husband,Movies,Birthday,Mid (1000-5000) INR,DVD
Teacher,Sports,Teacher's Day,Low (<1000 INR) 500-1000,Jersey
Teacher,Tech,Birthday,Mid (1000-5000) INR,USB Cable
Teacher,Writing,Teacher's Day,Low (<1000 INR) 500-1000,Pen
Teacher,Fitness,Birthday,Mid (1000-5000) INR,Shoes
Boss,Tech,Birthday,High (>5000 INR),Powerbank
Neighbour,Fashion,Wedding,Mid (1000-5000) INR,Bracelet
Aunt,Fitness,Anniversary,High (>5000 INR),Protein Powder
Uncle,Photography,Anniversary,High (>5000 INR),Camera
Uncle,Gaming,Birthday,High (>5000 INR),PS5
Uncle,Reading,Birthday,Low (<1000 INR) 500-1000,Book
Grand Father,Writing,Birthday,Low (<1000 INR) 500-1000,Pen
Grand Mother,Vlogging,Birthday,Mid (1000-5000) INR,Camera
Colleague,Tech,Birthday,Mid (1000-5000) INR,smartwatch
